number	weight	hometown	pos	height	summary	high_school	class
11	235	Morgantown, WV	F	81	10.6 Pts, 6.1 Reb, 3.6 Ast	Morgantown	SR
23	225	Cleveland, OH	F	80	13.0 Pts, 5.1 Reb, 1.7 Ast	Shaker Heights HS	SO
25	240	Warsaw, Poland	F	82	3.2 Pts, 2.0 Reb, 0.4 Ast		FR
3	170	Covington, KY	G	72	4.6 Pts, 1.6 Reb, 0.4 Ast	Holmes HS	FR
2	185	Maywood, IL	G	74	9.7 Pts, 3.1 Reb, 4.5 Ast	Proviso East	JR
14	200	Moundsville, WV	G	75	2.6 Pts, 0.7 Reb, 0.8 Ast		FR
50	250	Bamako, Mali	F	80	4.3 Pts, 2.6 Reb, 0.4 Ast		FR
13	190	Charleston, WV	G	70	2.4 Pts, 0.2 Reb, 0.3 Ast	Woodberry Forrest	SR
45	240	Columbus, OH	F	81	5.8 Pts, 3.1 Reb, 0.5 Ast	Brewster Academy	JR
4	185	Baltimore, MD	G	75	9.5 Pts, 1.6 Reb, 2.0 Ast	Notre Dame Prep	JR
	170	Brooklyn, NY	G	74	8.8 Pts, 1.6 Reb, 1.1 Ast	Grover Cleveland (CA) / Boys & Girls (NY)	SR
12	185	Brooklyn, NY	G	75	8.1 Pts, 3.2 Reb, 2.9 Ast	Independence CC	SR
21	250	Cameron, WV	F	83	1.3 Pts, 1.4 Reb, 0.1 Ast	Cameron HS	FR
20	245	Decatur, GA	F	81	7.4 Pts, 4.6 Reb, 0.4 Ast	Grady	SR
15	205	Cincinnati, OH	F	80	7.0 Pts, 2.5 Reb, 0.8 Ast	Miller Grove HS	FR
